127.0.0.1 - - [05/May/2019:18:06:14 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:14 +0900] "GET /relationKeyword?keyword=%EC%84%9C%EC%84%9C%EC%9A%B8%ED%98%B8%EC%88%98%EA%B3%B5%EC%9A%B0 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:14 +0900] "GET /relationKeyword?keyword=%EC%84%9C%EC%84%9C%EC%9A%B8%ED%98%B8%EC%88%98%EA%B3%B5%EC%9B%90 HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:14 +0900] "GET /relationKeyword?keyword=%EC%84%9C%EC%84%9C%EC%9A%B8%ED%98%B8%EC%88%98%EA%B3%B5%EC%9B%90 HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:14 +0900] "GET /relationKeyword?keyword=%EC%84%9C%EC%84%9C%EC%9A%B8%ED%98%B8%EC%88%98%EA%B3%B5%EC%9B%90 HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:16 +0900] "GET /busdetail?arsId=15697&tmx=126.8324108835&tmy=37.5293057313 HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:16 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:17 +0900] "GET /resources/img/bus/right.png HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:17 +0900] "GET /resources/img/bus/newWebPage.png HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:17 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047776959 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:23 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047783547 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:29 +0900] "GET /relationKeyword?keyword=%EC%84%9C%EC%84%9C%EC%9A%B8%ED%98%B8%EC%88%98%EA%B3%B5 HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:31 +0900] "GET /busdetail?arsId=15338&tmx=126.8325721561&tmy=37.5290347298 HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:31 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047791413 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:50 +0900] "GET /busdetail?arsId=15338&tmx=126.8325721561&tmy=37.5290347298 HTTP/1.1" 200 6368
0:0:0:0:0:0:0:1 - - [05/May/2019:18:16:51 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047810850 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:04 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047824289 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:13 +0900] "GET /relationKeyword?keyword=1 HTTP/1.1" 200 340634
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:13 +0900] "GET /relationKeyword?keyword=15 HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:16 +0900] "GET /relationKeyword?keyword=152 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:18 +0900] "GET /relationKeyword?keyword=1521 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:19 +0900] "GET /relationKeyword?keyword=15216 HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:20 +0900] "GET /relationKeyword?keyword=152 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:20 +0900] "GET /relationKeyword?keyword=1521 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:20 +0900] "GET /relationKeyword?keyword=15 HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:31 +0900] "GET /relationKeyword?keyword=1 HTTP/1.1" 200 340634
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:31 +0900] "GET /relationKeyword?keyword=15 HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:34 +0900] "GET /relationKeyword?keyword=152 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:35 +0900] "GET /relationKeyword?keyword=1529 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:36 +0900] "GET /relationKeyword?keyword=152 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:37 +0900] "GET /relationKeyword?keyword=1521 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:38 +0900] "GET /relationKeyword?keyword=1521%5C HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:38 +0900] "GET /relationKeyword?keyword=1521 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:39 +0900] "GET /relationKeyword?keyword=152 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:39 +0900] "GET /relationKeyword?keyword=15 HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:42 +0900] "GET /busdetail?arsId=35037&tmx=126.8811655684&tmy=37.6504675985 HTTP/1.1" 200 4518
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:42 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:43 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047862585 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:17:45 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047865465 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:18:35 +0900] "GET / HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [05/May/2019:18:18:35 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2019:18:18:36 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047915725 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:07 +0900] "GET /relationKeyword?keyword=%E3%85%87 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:07 +0900] "GET /relationKeyword?keyword=%EC%9B%83 HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0 HTTP/1.1" 200 224814
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%E3%85%85 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:07 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1 HTTP/1.1" 200 30830
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1 HTTP/1.1" 200 30830
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81%E3%84%B1 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:08 +0900] "GET /relationKeyword?keyword=%EC%9A%B0%EC%84%B1%EC%83%81%EA%B0%80 HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:09 +0900] "GET /busdetail?arsId=15296&tmx=126.8341060451&tmy=37.5215334526 HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:10 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047949619 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:30 +0900] "GET /busdetail?arsId=15296&tmx=126.8341060451&tmy=37.5215334526 HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:30 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047970076 HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:31 +0900] "GET /busdetail?arsId=15296&tmx=126.8341060451&tmy=37.5215334526 HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:31 +0900] "GET /resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2019:18:19:32 +0900] "GET /getWeatherData?tmx=57&tmy=126&base_date=20190505&base_time=1700&_=1557047971659 HTTP/1.1" 200 1380
